Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
SPERMATID DEVELOPMENT%GOBP%GO:0007286,-0.8287042068237201,-1.713686234803286,0.0,0.03437189832995296,61,15,22446;22445;331416;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
SPERMATID DIFFERENTIATION%GOBP%GO:0048515,-0.8287042068237201,-1.6537963090982024,0.009433962264150943,0.03666335821861649,64,15,22446;22445;331416;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
DEVELOPMENTAL PROCESS INVOLVED IN REPRODUCTION%GOBP%GO:0003006,-0.7927944590025794,-1.6394984332166884,0.0,0.03861534256821876,167,18,22061;75801;22446;22445;331416;72807;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
HEMATOPOIETIC OR LYMPHOID ORGAN DEVELOPMENT%GOBP%GO:0048534,-0.7338416462946463,-1.6253573719562926,0.0,0.03964589331179759,184,21,399568;319146;12484;243958;100041379;244234;546980;218921;545652;214766;15122;18829;435791;20709;545649;668208;68723;654801;545645;14381;70691,70691
GERM CELL DEVELOPMENT%GOBP%GO:0007281,-0.81354093042333,-1.6784255243256472,0.008849557522123894,0.0441318200779643,73,16,75801;22446;22445;331416;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
CELL DEVELOPMENT%GOBP%GO:0048468,-0.7260192294053408,-1.6548195886170614,0.0,0.044556164501790875,411,26,22061;75801;12484;18991;22062;22446;22239;11924;22445;331416;15122;195208;100039065;100039030;546272;100043216;18011;100042109;627081;27084;21957;14381;574437;27083;22441;70691,70691
MEIOTIC CELL CYCLE%GOBP%GO:0051321,-0.7872630774559227,-1.6020190986490868,0.0,0.0483752643162301,71,17,195434;75801;22446;22445;331416;100039065;100039030;546272;100043216;100042109;627081;27084;381196;574437;27083;22441;70691,70691
CELLULAR PROCESS INVOLVED IN REPRODUCTION IN MULTICELLULAR ORGANISM%GOBP%GO:0022412,-0.81354093042333,-1.7200834667296498,0.0,0.06619773011694645,91,16,75801;22446;22445;331416;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
CELLULAR RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0071345,0.8524471490150799,1.757972306519338,0.011764705882352941,0.09200189624813761,174,18,215257;240328;240327;226691;56744;15950;319146;623121;14468;69677;545652;54448;18829;21432;435791;545649;668208;545645,215257;240328;240327;226691
RESPONSE TO BACTERIUM%GOBP%GO:0009617,0.7388564619753898,1.7629305064168688,0.025,0.09508329947175943,208,23,215257;56744;436440;217304;238393;19695;12484;244202;14468;13088;116746;239081;69677;54448;246084;15122;13035;432867;219033;53973;170779;69165;20556,215257
