"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"100009600"	152.84699977398	0.00110984155928507	0.0592346119667865	0.95266416319115	0.979287331821935
"100009609"	38.0066075584381	-0.0164351359424117	0.0648250317712324	0.276518678807868	0.553591429400392
"100017"	3882.48739331096	0.092873709839984	0.0544633132023566	0.0202117042396874	0.147025791095707
"100019"	9010.53832723663	-0.125100669494	0.0928512258643873	0.019709056798687	0.145598961384991
"100033459"	932.524170062619	0.00522817133546115	0.0626639106770471	0.660046449676208	0.838223288779133
"100034251"	2566.96172799039	-0.0234162820795568	0.0637110612062523	0.339117401234902	0.610040863956863
"100034361"	6203.87689131633	0.0384568837304023	0.0387312849776909	0.219132848650889	0.493434764547919
"100034363"	6.87446301544819	0.00149593889789151	0.0634230477612846	0.674655847861985	NA
"100034684"	460.979054522449	0.002269860791447	0.063280587506189	0.70326061489454	0.862909848065111
"100034726"	473.950031084628	-0.0264263114850617	0.0614985868058416	0.347279637243894	0.61812649007661
"100034748"	15.1464520315847	-0.0169038511320906	0.0661533879998577	0.0651164985359721	NA
"100036521"	1307.79629711617	0.0313330489089748	0.0466266460849525	0.329879136478217	0.603012640477091
"100037258"	10676.1976482109	-0.0526930612740183	0.0529632130024439	0.144292134280637	0.396803369271752
"100037278"	444.934955783687	-0.641893625837131	0.122569842362872	7.75221958918387e-09	8.32034653907691e-06
"100037282"	4500.71347583372	0.0590790246930969	0.0568249087479031	0.119874717367457	0.359743859229759
"100037283"	290.632616692833	0.0560404693142466	0.0842693347145228	0.0878608177013311	0.307523094987235
"100038347"	93.1606079574763	-0.0312108243033465	0.070005210321436	0.156691066099649	0.414390352382524
"100038371"	11.0928523742231	-0.00729704903201439	0.0635311729302093	0.391339491599532	NA
"100038417"	3.81939046503462	-0.00913115962540932	0.0642390293968611	0.101717364803904	NA
"100038489"	1.50157003098424	0.00184790036391514	0.0634585640942564	0.559965991497016	NA
"100038538"	76.6623802596165	-0.0452923138907874	0.0816310352829673	0.0663632598431974	0.266339300855738
"100038570"	70.6239984593961	0.00610053612501713	0.0603420961237652	0.759036053031191	0.892291952186409
"100038628"	12.3213892897985	-0.00583303819405566	0.0633563360369722	0.464925481700365	NA
"100038657"	0.569496488839344	0.000971339689049387	0.0634757197666129	0.623524581154626	NA
"100038725"	1078.86511542118	-0.0279326006743707	0.0528287005218671	0.403642821976934	0.66523445644061
"100038847"	3.02371185670459	0.0010734518806396	0.06335600249971	0.803226077602277	NA
"100038854"	2.67178834525406	0.000947687903901092	0.0634079860708994	0.812817111385291	NA
"100038862"	16.5427437005312	0.00214607389495057	0.0629156611601253	0.808958497409901	NA
"100038909"	125.360968009931	-0.726567901001716	0.243796663811718	0.000104196415637105	0.00767478108511342
"100038912"	4.12702321979714	0.00207666647190779	0.0633154224965716	0.699908397035946	NA
"100038941"	6.97084164143545	0.00180097055349883	0.0630296181506647	0.820533731478392	NA
"100038947"	1348.51763719078	-0.030072523353283	0.0672886392804496	0.227489675118768	0.504574019011913
"100038948"	0.663779481743676	0.00170218326283923	0.0635103207777586	0.370907350305595	NA
"100038949"	1.00763996455959	0.00201099157980568	0.0635330504927792	0.231081420758327	NA
"100039008"	15.4793192474953	-0.0022038328651611	0.06349100864037	0.434492763489691	NA
"100039027"	152.99867129563	-0.0316300306617684	0.0704549248888335	0.142948648335275	0.394923981010686
"100039028"	70.0519626335651	-0.00374485913719976	0.0634188198412267	0.494837183412344	0.732672848406658
"100039030"	0.628270335752551	-0.00175656358936711	0.0635045042960391	0.432086248152365	NA
"100039060"	1335.13622876324	0.0225210229031353	0.0628404022543952	0.345468632844445	0.616366688659964
"100039062"	3.63425980260054	-0.00737260223549041	0.0638490303302063	0.220931078734582	NA
"100039065"	0.857085256726065	-0.000818717224008092	0.0634587656750703	0.709331774477999	NA
"100039087"	1.49103286808954	0.000643281898157149	0.0634222212847839	0.835535473282573	NA
"100039116"	1.00612440361343	-0.000951021187072999	0.0634883759106043	0.531597308207217	NA
"100039123"	954.830648970708	-0.000114154384518367	0.0511334653472834	0.99953432683433	0.99961240016729
