"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"100009600"	152.84699977398	0.00609936544384283	0.0561776838735919	0.701447247769588	0.895472169088054
"100009609"	38.0066075584381	0.00939977039601761	0.0583195167925746	0.34573225486848	NA
"100017"	3882.48739331096	-0.081089387763834	0.0651592561166437	0.0461378684088436	0.303480459910948
"100019"	9010.53832723663	0.208668535484742	0.124377823641716	0.00415119319348906	0.104315961799485
"100033459"	932.524170062619	0.0017553158495809	0.0575713611340952	0.832906907328286	0.951193763549169
"100034251"	2566.96172799039	-0.0130301058170351	0.0572727178736709	0.422591113189735	0.756857665973552
"100034361"	6203.87689131633	-0.00571549525334097	0.0393798821370666	0.931799269276952	0.979419022333575
"100034363"	6.87446301544819	0.00124276996290985	0.0580907036527769	0.565831095178537	NA
"100034684"	460.979054522449	-0.00243107293134657	0.0580326405702122	0.560531917487184	0.830116827606658
"100034726"	473.950031084628	0.0110086466352865	0.0550759205841515	0.596675882057405	0.846554893220047
"100034748"	15.1464520315847	0.00955797040917035	0.0589489575897421	0.125742758264563	NA
"100036521"	1307.79629711617	0.00944319292084124	0.0455124946886089	0.732299153100339	0.906225192188498
"100037258"	10676.1976482109	0.128159729352317	0.0845429984423762	0.0109483700184245	0.162767986343025
"100037278"	444.934955783687	0.0659188616722227	0.107697183075794	0.0282324058613523	0.246706131945707
"100037282"	4500.71347583372	-0.0402394251437208	0.0567152279212913	0.206233379593426	0.571495143451163
"100037283"	290.632616692833	-0.0243586487130304	0.0605150866532457	0.231582557413158	0.594450514882625
"100038347"	93.1606079574763	0.015909143854355	0.0591817109741607	0.278434904058184	0.64406986978133
"100038371"	11.0928523742231	0.00080662471915306	0.057788269191617	0.92206660165869	NA
"100038417"	3.81939046503462	0.00507039021219144	0.0583302546272427	0.163515287975446	NA
"100038489"	1.50157003098424	-0.00041965311278749	0.0580712166051187	0.838275098644551	NA
"100038538"	76.6623802596165	0.0436107605907852	0.0813141780049536	0.018082556834513	0.200720802026134
