"964-1" "964-10" "964-11" "964-12" "964-13" "964-14" "964-15" "964-2" "964-3" "964-4" "964-5" "964-6"
"100009600" 146 91 174 170 138 192 181 373 152 102 139 616
"100009609" 41 21 32 40 27 50 29 85 50 28 35 139
"100009614" 0 0 1 0 0 0 0 0 0 0 0 0
"100012" 0 0 0 0 0 0 0 0 0 0 0 0
"100017" 5377 2169 4445 5758 2388 2739 4120 9014 2884 3658 3553 19159
"100019" 13182 5341 10824 10417 4523 6567 7361 29464 7961 6874 8253 37688
"100033459" 2718 516 686 1406 241 701 896 2640 629 839 974 3128
"100034251" 5014 1097 4303 2862 1510 1651 2583 7253 2623 2844 2662 12677
"100034361" 9178 3452 7763 8684 3867 4882 6522 16376 4730 5748 5661 26459
"100034363" 15 9 19 0 6 0 23 28 0 0 8 6
"100034684" 648 467 1039 156 449 188 1014 1377 99 787 172 2216
"100034726" 650 272 631 644 240 360 476 1254 461 446 460 1993
"100034729" 0 0 0 0 0 0 0 0 0 0 0 0
"100034748" 20 4 9 25 9 12 15 53 24 11 11 51
"100036518" 0 0 0 0 0 0 0 0 0 0 0 0
"100036521" 2043 780 1452 1756 748 927 1336 3450 1070 1153 1132 6065
"100037258" 16868 5997 12223 13641 6182 6194 8831 31336 9777 8748 9967 45437
"100037278" 742 184 396 447 226 375 493 1453 566 374 473 1837
"100037282" 5798 2721 5296 6386 2821 3851 4857 10634 3648 4391 4201 19499
"100037283" 367 166 300 333 187 214 369 707 241 274 244 1454
"100038347" 176 44 95 117 70 57 80 310 67 83 95 340
"100038371" 15 7 8 11 5 5 9 25 18 9 13 63
"100038417" 6 1 8 2 0 4 2 12 11 3 2 12
"100038489" 2 0 1 2 2 1 0 4 3 3 0 5
"100038538" 120 42 77 88 32 41 70 232 99 41 72 326
"100038570" 108 34 82 139 48 57 54 181 51 59 65 324
"100038628" 19 4 16 25 1 10 3 45 11 27 6 38
"100038657" 0 0 3 3 0 0 0 0 1 0 0 3
"100038725" 1414 516 1361 1283 675 859 1123 2967 902 898 1060 4226
"100038847" 4 2 3 3 2 6 4 7 0 0 6 14
"100038854" 0 3 5 0 3 0 4 0 1 6 2 15
"100038859" 0 0 0 0 0 0 0 0 0 0 0 0
"100038860" 0 0 0 0 0 0 0 0 0 0 0 0
"100038862" 16 3 21 6 9 15 16 35 15 13 22 58
"100038909" 348 60 174 105 44 78 132 561 156 75 109 413
"100038912" 7 1 10 3 3 2 2 10 2 12 3 6
"100038927" 0 0 0 0 0 0 0 0 0 0 0 0
"100038941" 12 3 15 10 0 5 5 14 7 6 4 21
"100038947" 1803 527 1236 1739 635 1307 1466 3215 1397 880 1160 6746
"100038948" 0 3 2 0 0 0 0 2 0 0 1 0
"100038949" 0 2 0 0 3 4 0 0 0 0 0 1
"100038977" 0 0 0 0 0 0 0 0 0 0 0 1
"100038982" 0 0 0 0 0 0 0 0 0 0 0 0
"100039008" 41 1 11 0 11 9 45 35 4 36 34 4
"100039027" 197 63 188 151 92 119 104 431 178 150 159 608
"100039028" 181 40 94 61 10 49 111 292 47 81 147 86
"100039030" 2 0 0 0 1 0 0 3 2 0 2 6
"100039042" 0 0 0 0 0 0 0 0 0 0 0 5
"100039043" 0 0 1 0 0 0 0 2 0 0 0 2
"100039045" 0 0 0 0 1 1 0 2 0 0 0 0
"100039054" 0 0 0 0 0 0 0 0 0 0 0 0
"100039055" 0 0 0 0 0 0 0 0 0 0 0 0
"100039060" 2225 724 2019 2019 902 865 1780 3752 931 1416 1316 5957
"100039062" 8 2 3 3 1 3 2 13 2 2 7 21
"100039065" 3 1 0 2 0 0 0 2 5 0 0 3
"100039087" 1 5 1 0 0 1 4 3 2 1 1 4
"100039089" 0 0 0 0 0 0 0 0 0 0 0 0
"100039116" 1 1 0 0 0 0 0 0 0 0 9 5
"100039120" 0 0 0 0 0 0 0 0 0 0 0 0
"100039123" 1270 421 1202 1155 602 686 1118 2829 726 898 913 4103
"100039139" 162 76 222 247 105 163 162 390 137 188 120 689
"100039150" 17 2 5 6 0 2 5 32 3 2 2 0
"100039177" 0 0 0 0 0 0 0 0 0 0 0 0
"100039192" 1975 602 1277 1285 768 865 970 3693 1048 1207 1034 5211
"100039206" 5 1 5 1 0 4 6 17 3 2 6 0
"100039213" 0 2 2 0 0 0 1 0 0 1 0 1
"100039239" 5594 3024 7353 8600 2460 3069 4236 12352 3482 5431 4030 15598
"100039240" 6 2 4 6 1 4 4 18 6 7 11 16
"100039246" 898 249 466 564 220 315 444 1524 365 461 501 2056
"100039257" 1287 539 842 916 536 570 1234 1826 592 819 909 4207
"100039280" 0 0 0 0 0 0 0 0 0 0 0 0
"100039315" 0 0 1 0 0 0 0 0 0 0 0 0
"100039319" 0 0 0 0 0 0 0 0 0 0 0 0
"100039348" 2 0 0 0 0 1 0 0 0 0 0 2
"100039436" 0 0 1 0 1 0 0 1 0 0 0 0
"100039467" 63 10 14 14 21 0 8 32 0 32 16 43
"100039479" 0 0 0 0 0 0 0 0 0 0 0 0
"100039499" 0 0 0 0 0 0 0 0 0 0 0 0
"100039550" 0 0 0 0 36 0 0 0 0 0 0 0
"100039551" 0 0 0 0 0 0 0 0 0 0 0 0
"100039574" 0 0 0 0 0 0 0 0 0 0 0 0
"100039596" 360 107 197 313 185 90 217 798 211 244 210 1402
"100039614" 0 0 0 0 0 0 0 0 0 0 0 0
"100039672" 0 1 0 3 0 0 0 0 2 0 0 2
"100039706" 47 49 101 17 19 138 205 100 53 34 110 242
"100039707" 1619 623 1378 1350 604 707 1021 2695 827 1006 859 4856
"100039753" 0 0 0 0 0 0 0 0 0 0 0 0
"100039781" 82 27 75 62 28 39 64 153 41 44 36 224
"100039795" 222 83 102 343 129 103 122 371 191 108 211 571
"100039796" 9202 3050 5850 6408 2847 4774 5760 16524 5360 4218 4815 23369
"100039801" 0 0 2 0 1 2 0 0 0 1 0 5
"100039810" 0 0 0 0 0 0 0 0 0 0 0 0
"100039890" 181 68 118 220 87 98 120 460 130 176 91 518
"100039913" 0 0 0 0 0 0 0 0 0 0 0 4
"100039934" 42 17 27 66 31 30 33 180 44 69 34 157
"100039948" 0 0 0 0 0 0 0 1 0 0 0 0
"100039953" 0 0 0 0 0 0 0 2 0 0 0 2
"100039957" 0 0 0 0 0 0 0 0 0 0 1 0
"100039968" 654 204 421 503 257 227 317 1043 375 394 379 1737
"100040016" 0 0 0 0 0 0 0 0 0 0 0 0
"100040022" 0 0 0 0 0 0 0 0 0 0 0 0
"100040031" 0 0 0 0 0 0 0 0 0 0 0 1
"100040048" 1 0 1 1 0 0 1 0 1 0 0 0
"100040049" 30 7 22 20 9 26 24 62 28 15 26 61
"100040160" 0 0 0 0 0 0 0 0 0 0 0 0
"100040201" 1 0 14 0 0 0 0 8 0 0 0 36
"100040208" 2 1 0 0 0 0 0 1 1 1 0 6
"100040214" 0 0 10 0 0 0 0 21 0 0 0 18
"100040223" 0 0 0 0 0 0 0 0 0 0 0 0
"100040233" 0 0 0 1 0 0 0 0 0 0 0 0
"100040248" 0 0 13 0 0 0 0 13 0 0 0 6
"100040268" 0 0 0 0 0 0 0 0 0 0 0 0
"100040276" 0 0 2 0 0 0 0 8 0 0 0 7
"100040298" 4 0 0 13 0 4 4 25 3 11 0 38
"100040299" 0 0 10 0 0 0 0 1 0 0 0 5
"100040328" 0 0 0 0 0 0 0 0 0 0 0 0
"100040462" 2965 1056 1897 2334 908 1678 1944 4887 1478 1430 1698 5678
"100040525" 49 9 26 48 8 24 16 87 25 13 34 115
"100040531" 10775 4796 9516 10474 5107 5865 8207 19743 6285 7558 6709 35999
"100040563" 290 89 256 251 139 198 202 584 205 171 159 798
"100040591" 14 4 19 12 3 11 10 21 13 12 14 41
"100040599" 9 7 0 0 0 0 4 10 3 0 9 0
"100040606" 0 0 0 0 0 0 0 0 0 0 0 0
"100040608" 1486 615 1151 1442 563 732 990 2770 829 866 922 5139
"100040671" 26 9 7 17 0 12 24 26 19 13 15 49
"100040722" 0 0 0 0 0 0 0 0 0 0 0 0
"100040732" 0 0 0 0 0 0 0 0 0 0 0 0
"100040766" 864 309 717 1014 303 501 522 1597 512 491 586 2186
"100040786" 0 0 0 0 0 0 0 0 0 0 0 0
"100040792" 46 14 27 44 28 17 14 68 19 27 15 103
"100040843" 0 0 0 0 0 0 0 1 0 0 0 0
"100040851" 2 2 3 5 0 0 0 6 0 5 6 14
"100040852" 11 1 0 2 1 0 0 9 0 0 3 25
"100040861" 0 0 0 0 0 0 0 0 0 0 0 0
"100040867" 0 0 0 0 0 0 0 0 0 0 0 0
"100040880" 3 0 0 0 1 0 1 0 0 1 0 2
"100040911" 0 0 0 0 0 0 0 0 0 0 0 0
"100040937" 0 0 0 0 2 0 0 0 0 0 0 0
"100040944" 85 49 76 125 32 49 71 184 53 50 49 182
"100040970" 5698 2346 9420 9740 2946 3789 4605 12690 3390 5994 4437 28394
