"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"100009600"	152.84699977398	0.476793926238301	0.353058167920863	0.00298951043458651	0.694601069100053
"100009609"	38.0066075584381	3.13949241783364e-06	0.00144268762128249	0.221520406388522	0.999992529570863
"100017"	3882.48739331096	-2.88409244701377e-05	0.00144257434706214	0.41604223653688	0.999992529570863
"100019"	9010.53832723663	-5.7536716433432e-06	0.001442601779085	0.495163563763459	0.999992529570863
"100033459"	932.524170062619	-1.62666106896693e-06	0.00144268666721251	0.517425572167488	0.999992529570863
"100034251"	2566.96172799039	-9.69252013371696e-06	0.00144266315237944	0.100219825212495	0.999992529570863
"100034361"	6203.87689131633	0.000106703858092064	0.00144430340520042	0.23567991429346	0.999992529570863
"100034363"	6.87446301544819	5.49183339771853e-07	0.00144269469817631	0.321888298918651	0.999992529570863
"100034684"	460.979054522449	4.06341013060952e-07	0.00144269350896291	0.711786551376268	0.999992529570863
"100034726"	473.950031084628	-3.16371901745927e-06	0.00144264258955135	0.61175590529229	0.999992529570863
"100034748"	15.1464520315847	9.06275595842823e-07	0.00144269169961851	0.568784209998509	0.999992529570863
"100036521"	1307.79629711617	2.76093006868078e-06	0.00144245767157143	0.75085576915338	0.999992529570863
"100037258"	10676.1976482109	-9.71502678057301e-05	0.00144411949315229	0.0378072974736783	0.999992529570863
"100037278"	444.934955783687	1.27384912939343e-06	0.00144264367859276	0.835852104173185	0.999992529570863
"100037282"	4500.71347583372	8.36707097065768e-06	0.00144252606731987	0.328969890460978	0.999992529570863
"100037283"	290.632616692833	4.14217715765097e-06	0.00144263949380139	0.525477911432179	0.999992529570863
"100038347"	93.1606079574763	3.48418349744378e-08	0.00144267504811796	0.994019618850085	0.999992529570863
"100038371"	11.0928523742231	-1.3228583018952e-06	0.00144269257721952	0.350914853951909	0.999992529570863
"100038417"	3.81939046503462	-8.30049415464717e-08	0.00144269390902156	0.927618912354696	0.999992529570863
"100038489"	1.50157003098424	1.39053216226979e-08	0.00144269460364968	0.989739724890923	0.999992529570863
"100038538"	76.6623802596165	-2.28946255831764e-06	0.00144267482317957	0.558455004733387	0.999992529570863
"100038570"	70.6239984593961	-2.0625814979969e-07	0.00144267432821964	0.956203772743229	0.999992529570863
"100038628"	12.3213892897985	-2.08970811888286e-06	0.00144269345683173	0.109725207439224	0.999992529570863
"100038657"	0.569496488839344	-1.63453989744014e-07	0.00144269497475891	0.868173343044968	0.999992529570863
"100038725"	1078.86511542118	1.57267665632207e-05	0.00144260624572439	0.214238079789625	0.999992529570863
"100038847"	3.02371185670459	3.99207899205591e-07	0.00144269422803325	0.613491011283811	0.999992529570863
"100038854"	2.67178834525406	-2.26962167106895e-07	0.00144269429687595	0.751105865684792	0.999992529570863
"100038862"	16.5427437005312	5.3325911857713e-08	0.00144269066881097	0.977981320946986	0.999992529570863
"100038909"	125.360968009931	1.07786619179423e-06	0.0014426768370144	0.768783653228769	0.999992529570863
"100038912"	4.12702321979714	-6.69845118051009e-07	0.00144269398007418	0.45272161417854	0.999992529570863
"100038941"	6.97084164143545	-4.80757791199183e-07	0.00144269296465841	0.698640840868901	0.999992529570863
"100038947"	1348.51763719078	4.66278343166817e-06	0.00144266278544384	0.361951556699931	0.999992529570863
"100038948"	0.663779481743676	-1.41316036265752e-07	0.00144269499451684	0.920447383406156	0.999992529570863
"100038949"	1.00763996455959	2.51803846803838e-07	0.00144269501846424	0.291620829116218	0.999992529570863
"100039008"	15.4793192474953	-1.87106727633788e-09	0.00144269467128977	0.977856597857758	0.999992529570863
"100039027"	152.99867129563	-2.70089637344567e-06	0.00144267608077696	0.477391215984112	0.999992529570863
"100039028"	70.0519626335651	-4.29226101104462e-07	0.00144269377936321	0.65201502511844	0.999992529570863
"100039030"	0.628270335752551	-1.19073794394694e-07	0.00144269489316269	0.654705111060225	0.999992529570863
"100039060"	1335.13622876324	8.61399361993007e-07	0.00144264863583454	0.883485058004104	0.999992529570863
"100039062"	3.63425980260054	-8.98920454330945e-07	0.0014426937494835	0.376683962626274	0.999992529570863
"100039065"	0.857085256726065	-3.16366606011747e-07	0.00144269495315091	0.832367387911098	0.999992529570863
"100039087"	1.49103286808954	2.55823312837475e-07	0.00144269463596573	0.644235284479804	0.999992529570863
"100039116"	1.00612440361343	-2.50755227101426e-07	0.00144269503706354	0.306385658293822	0.999992529570863
"100039123"	954.830648970708	4.04964388780946e-06	0.00144259280839206	0.614066154160162	0.999992529570863
"100039139"	170.911201322546	3.30598727641333e-06	0.00144266969433776	0.45668628712956	0.999992529570863
"100039150"	3.6195337560073	4.35233288298934e-07	0.00144269449639569	0.485510211298343	0.999992529570863
"100039192"	1180.52922105936	-3.99398362508349e-06	0.00144263764264722	0.542901468098379	0.999992529570863
"100039206"	2.41746261662936	1.96500162390618e-07	0.00144269448909179	0.763250335792985	0.999992529570863
"100039213"	0.918590289700109	-1.59219080059544e-08	0.0014426948708353	0.944529026540185	0.999992529570863
"100039239"	4593.28906628818	-6.5860400084428e-06	0.00144264367306786	0.311447023019011	0.999992529570863
"100039240"	6.415538907108	-1.49929593408528e-06	0.00144269311243011	0.243937576513466	0.999992529570863
"100039246"	444.106305252084	-9.39717191804521e-06	0.00144266517723554	0.0997549226171765	0.999992529570863
"100039257"	885.839568521347	4.11223991218927e-07	0.0014426596784665	0.936945757397644	0.999992529570863
"100039467"	16.0335293211026	-3.03001811756784e-07	0.00144269428600294	0.679621908967115	0.999992529570863
"100039550"	6.95447147966664	1.85991727286171e-07	0.00144269503249067	0.153556186217169	0.999992529570863
"100039596"	263.89800860104	-5.95126864628924e-06	0.00144267731581398	0.151728559147178	0.999992529570863
"100039672"	0.495874313777683	-5.02869173775427e-08	0.00144269500908539	0.961505917150906	0.999992529570863
"100039706"	69.9335685288969	2.48778322994565e-06	0.00144269276347351	0.117556640506049	0.999992529570863
"100039707"	1031.26796368018	-8.39544584408173e-06	0.00144256388116528	0.408707623562682	0.999992529570863
"100039781"	53.1081066039405	1.8692669228669e-06	0.00144268409371153	0.519719752301164	0.999992529570863
"100039795"	178.907442062325	-1.40924126294466e-07	0.00144268440961316	0.95736237400911	0.999992529570863
"100039796"	5535.98921208492	7.93834481285767e-06	0.00144263201899012	0.27806734736519	0.999992529570863
"100039801"	0.494340626024197	8.97159441016651e-08	0.00144269493027071	0.80064809021285	0.999992529570863
"100039890"	142.459794261908	-5.1221294351932e-07	0.00144267898671778	0.878844986733037	0.999992529570863
"100039934"	43.159866097306	-8.38599806861813e-07	0.00144269025195815	0.652740913793176	0.999992529570863
"100039968"	391.445734838086	-1.00244865091699e-05	0.00144265474854635	0.119656399713658	0.999992529570863
"100040049"	20.2415488665112	1.89071491630515e-06	0.001442688782699	0.394816540780868	0.999992529570863
"100040201"	8.3065412998186	-2.08441397829254e-07	0.00144269503091031	NA	NA
"100040208"	0.551450894389797	-2.87431902512726e-07	0.00144269496505014	0.534034653362337	0.999992529570863
"100040214"	5.96103104345816	3.01992642527214e-08	0.00144269503098678	NA	NA
"100040248"	6.34804099041374	-1.01577505774718e-07	0.00144269502497198	NA	NA
"100040276"	2.1453292379301	-1.94881731744479e-07	0.00144269499123392	0.715675561670123	0.999992529570863
"100040298"	4.05267939166183	-3.55426115200764e-07	0.00144269462318951	0.531768009871611	0.999992529570863
"100040299"	2.08600144348085	-2.42165004341752e-07	0.00144269500719432	0.812513989317909	0.999992529570863
"100040462"	1724.87085471433	9.52384100124728e-06	0.00144266480725998	0.121543436634739	0.999992529570863
"100040525"	28.8196297851461	-1.02789209324701e-06	0.00144269068781248	0.569096318552136	0.999992529570863
"100040531"	7747.11682162806	2.76175876263522e-05	0.00144248653326513	0.512222226564535	0.999992529570863
"100040563"	206.516007138946	9.61584980061401e-06	0.00144267320621079	0.0661785771341308	0.999992529570863
"100040591"	12.1191278343889	-7.96198806538974e-07	0.00144269094262316	0.645188724186696	0.999992529570863
"100040599"	2.99088028170536	-1.46877868198918e-07	0.00144269488413157	0.662533503903486	0.999992529570863
"100040608"	1025.15776766147	-1.06219337313402e-05	0.00144257455513456	0.290399836972188	0.999992529570863
"100040671"	13.2250137143292	1.7271740078117e-08	0.001442692142067	0.992882901169032	0.999992529570863
"100040766"	589.215089695173	-6.41133682413434e-06	0.00144264119912652	0.871271035620131	0.999992529570863
"100040792"	24.8921134670745	1.14918859028576e-06	0.00144268766706495	0.623117707741439	0.999992529570863
"100040851"	2.59925615604135	-1.44810130686909e-06	0.00144269499654895	0.0098869245839122	0.999992529570863
"100040852"	1.53087711731717	-3.79152537962595e-07	0.00144269488965154	0.277373090853358	0.999992529570863
"100040944"	63.7089790597167	6.73379054587715e-06	0.00144268367891334	0.165439066697096	0.999992529570863
"100040970"	5262.22534409683	-8.08314085676654e-06	0.00144266663113724	0.131072331901785	0.999992529570863
"100040972"	14.3472896431748	-1.88796157324908e-06	0.00144269322116661	0.156184404109762	0.999992529570863
"100040999"	28.5922702571327	-2.78831007989241e-06	0.00144268922970181	0.216702788879728	0.999992529570863
"100041034"	0.814283984317717	-2.95637985313774e-07	0.00144269497853537	0.459549649633819	0.999992529570863
"100041077"	2.89255552218311	-1.3545997675361e-08	0.00144269503233678	NA	NA
"100041102"	1.02716120291436	-4.44929145091647e-07	0.00144269488274332	0.418512688904555	0.999992529570863
"100041151"	29.7915997676219	-3.27429239843833e-06	0.00144269156321781	0.0965379323749325	0.999992529570863
"100041230"	163.073826296172	-2.39945296000524e-08	0.00144268932740631	0.990609626987563	0.999992529570863
"100041231"	330.395493358558	4.64873028463033e-06	0.00144267934779474	0.216172338926737	0.999992529570863
"100041250"	1.24774301887019	4.1228179895002e-08	0.0014426950142307	0.883933701928134	0.999992529570863
"100041253"	1.24438547451046	-4.55084299771584e-07	0.00144269487721635	0.412981517072445	0.999992529570863
"100041261"	0.89148913927032	-9.55045307894965e-08	0.00144269502372255	0.8177974995532	0.999992529570863
"100041273"	2981.39261969923	-8.25051083750223e-06	0.00144252179890968	0.558157143734156	0.999992529570863
"100041281"	0.499297314808779	-5.30381967585657e-08	0.00144269501699093	0.970726034528378	0.999992529570863
"100041294"	0.583326931949597	-3.22693234006339e-07	0.00144269496901034	0.444854064227815	0.999992529570863
